ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.133,192.168.4.78,51063,50006,0,0x0014
192.168.4.133,192.168.4.78,51063,7201,0,0x0014
192.168.4.133,192.168.4.78,51063,7002,0,0x0014
192.168.4.78,192.168.4.133,11967,51063,1024,0x0002
192.168.4.113,192.168.4.133,10626,51063,1024,0x0002
192.168.4.20,192.168.4.133,3071,51063,1024,0x0002
192.168.4.29,192.168.4.133,56738,51063,1024,0x0002
192.168.4.76,192.168.4.133,1035,51063,1024,0x0002
192.168.4.77,192.168.4.133,50006,51063,1024,0x0002
192.168.4.78,192.168.4.133,1186,51063,1024,0x0002
192.168.4.113,192.168.4.133,987,51063,1024,0x0002
192.168.4.20,192.168.4.133,9,51063,1024,0x0002
192.168.4.29,192.168.4.133,32775,51063,1024,0x0002
192.168.4.76,192.168.4.133,2103,51063,1024,0x0002
192.168.4.77,192.168.4.133,1328,51063,1024,0x0002
192.168.4.78,192.168.4.133,20031,51063,1024,0x0002
192.168.4.113,192.168.4.133,9011,51063,1024,0x0002
192.168.4.20,192.168.4.133,720,51063,1024,0x0002
192.168.4.29,192.168.4.133,259,51063,1024,0x0002
192.168.4.76,192.168.4.133,1042,51063,1024,0x0002
192.168.4.77,192.168.4.133,9102,51063,1024,0x0002
192.168.4.78,192.168.4.133,8994,51063,1024,0x0002
192.168.4.113,192.168.4.133,1199,51063,1024,0x0002
192.168.4.20,192.168.4.133,8500,51063,1024,0x0002
192.168.4.29,192.168.4.133,427,51063,1024,0x0002
192.168.4.76,192.168.4.133,50500,51063,1024,0x0002
192.168.4.77,192.168.4.133,7002,51063,1024,0x0002
192.168.4.78,192.168.4.133,1035,51063,1024,0x0002
192.168.4.113,192.168.4.133,3031,51063,1024,0x0002
192.168.4.20,192.168.4.133,3372,51063,1024,0x0002
192.168.4.29,192.168.4.133,3659,51063,1024,0x0002
192.168.4.76,192.168.4.133,8649,51063,1024,0x0002
192.168.4.77,192.168.4.133,8022,51063,1024,0x0002
192.168.4.78,192.168.4.133,2103,51063,1024,0x0002
192.168.4.113,192.168.4.133,3000,51063,1024,0x0002
192.168.4.20,192.168.4.133,2033,51063,1024,0x0002
192.168.4.29,192.168.4.133,2522,51063,1024,0x0002
192.168.4.76,192.168.4.133,1641,51063,1024,0x0002
192.168.4.77,192.168.4.133,1010,51063,1024,0x0002
192.168.4.78,192.168.4.133,1042,51063,1024,0x0002
192.168.4.113,192.168.4.133,1244,51063,1024,0x0002
192.168.4.20,192.168.4.133,1311,51063,1024,0x0002
192.168.4.29,192.168.4.133,6839,51063,1024,0x0002
192.168.4.76,192.168.4.133,1334,51063,1024,0x0002
192.168.4.77,192.168.4.133,1301,51063,1024,0x0002
192.168.4.78,192.168.4.133,50500,51063,1024,0x0002
192.168.4.113,192.168.4.133,3476,51063,1024,0x0002
192.168.4.20,192.168.4.133,90,51063,1024,0x0002
192.168.4.29,192.168.4.133,55055,51063,1024,0x0002
192.168.4.76,192.168.4.133,1045,51063,1024,0x0002
192.168.4.77,192.168.4.133,5903,51063,1024,0x0002
192.168.4.78,192.168.4.133,8649,51063,1024,0x0002
192.168.4.113,192.168.4.133,3011,51063,1024,0x0002
192.168.4.133,192.168.4.77,51063,49165,0,0x0014
192.168.4.133,192.168.4.20,51063,3000,0,0x0014
192.168.4.133,192.168.4.20,51063,3011,0,0x0014
192.168.4.133,192.168.4.20,51063,1244,0,0x0014
